Node;Degree;Degree_Centrality;Betweenness_Centrality;Closeness_Centrality;X_Coord;Y_Coord
6;1;0.0056179775280898875;0.0;0.0007151581578774889;-0.65;770.1
105;4;0.02247191011235955;0.07820732558877674;0.0007906102626721494;151.57;751.14
119;3;0.016853932584269662;0.10486891385767791;0.0008382308568334647;251.52;739.66
137;3;0.016853932584269662;0.19202691550815718;0.0009048727859074486;378.47;720.7
136;3;0.016853932584269662;0.18288579953024822;0.0009068618047958304;376.17;680.49
143;3;0.016853932584269662;0.08036564463911636;0.0009401604272217434;516.33;663.26
97;3;0.016853932584269662;0.05649717514124294;0.0007726203384618699;139.51;648.32
153;3;0.016853932584269662;0.08163524408049261;0.0009377189010607531;630.58;645.2
164;3;0.016853932584269662;0.0630356122643306;0.0009409373384222601;748.33;629.4
165;3;0.016853932584269662;0.06735225036500984;0.0009419681112973976;762.0;627.51
100;4;0.02247191011235955;0.03351742525233289;0.0007602128604721874;1434.82;602.95
25;1;0.0056179775280898875;0.0;0.000582718877637767;1539.37;926.92
23;1;0.0056179775280898875;0.0;0.0006851781754745657;1429.08;747.7
90;3;0.016853932584269662;0.05516409572779788;0.0008562316876784936;1282.03;587.72
19;1;0.0056179775280898875;0.0;0.0007697381161305237;1268.24;718.98
54;5;0.028089887640449437;0.14206817749000192;0.0009577982057361738;1054.93;587.04
29;1;0.0056179775280898875;0.0;0.0006862170481970809;1557.75;590.31
91;3;0.016853932584269662;0.05465625595124738;0.0007653575526425372;129.17;573.65
66;4;0.02247191011235955;0.08379356313083222;0.0009471675622124438;1129.81;570.49
5;1;0.0056179775280898875;0.0;0.0006375790162510101;-0.65;569.05
115;3;0.016853932584269662;0.027042468101314037;0.000756703127117334;207.29;558.71
80;4;0.02247191011235955;0.1977401129943503;0.0009321277743597752;1211.66;548.95
87;3;0.016853932584269662;0.10893163207008189;0.0008849181082166593;1278.23;547.55
108;3;0.016853932584269662;0.03713578366025519;0.000749411422162948;1536.0;545.39
33;1;0.0056179775280898875;0.0;0.0007367916521585284;1558.98;544.9
74;3;0.016853932584269662;0.02107535072684568;0.0007594164756774761;118.63;513.8
114;3;0.016853932584269662;0.03173998603440614;0.000768185398041511;196.17;500.88
132;3;0.016853932584269662;0.022408430140290737;0.0007195809409300133;36.77;482.21
3;1;0.0056179775280898875;0.0;0.0007005227308488636;-0.57;489.39
60;3;0.016853932584269662;0.0377071034088745;0.0007592084256661046;110.01;467.85
113;3;0.016853932584269662;0.06671745064432172;0.0007904322832992717;189.71;451.33
129;3;0.016853932584269662;0.22040246302291627;0.0008727948949143939;334.75;445.59
140;3;0.016853932584269662;0.13349838126071226;0.000861495265495715;409.42;425.48
53;3;0.016853932584269662;0.09337903891322288;0.0009299428863978154;1033.39;424.77
128;3;0.016853932584269662;0.18110836031232147;0.000859123791547244;326.13;418.3
61;4;0.02247191011235955;0.04653081952643941;0.0009215445033690123;1106.62;414.71
161;3;0.016853932584269662;0.016250872849615947;0.0008985494214410647;718.17;411.12
76;3;0.016853932584269662;0.11959626737764235;0.0009090894089540958;1184.17;403.23
106;3;0.016853932584269662;0.025836348632006602;0.0007108027673198558;1513.02;400.35
32;1;0.0056179775280898875;0.0;0.0006883997411931007;1558.98;403.23
150;3;0.016853932584269662;0.1662540468482194;0.0008976845803753358;592.52;378.81
50;3;0.016853932584269662;0.09014156033771345;0.0009161952352771633;1020.46;368.76
48;1;0.0056179775280898875;0.0;0.0007319227363362428;931.43;406.1
2;1;0.0056179775280898875;0.0;0.0006563958444613094;-0.57;352.96
158;4;0.02247191011235955;0.24084301402907382;0.0009024645877446117;700.94;349.37
73;3;0.016853932584269662;0.08277788357773123;0.0008834403787700396;1175.55;345.78
170;4;0.02247191011235955;0.189043356820923;0.0009070093619799333;888.35;299.83
104;3;0.016853932584269662;0.02164667047546499;0.0007003498715032681;1490.05;278.29
28;1;0.0056179775280898875;0.0;0.0006689017814262516;1557.54;276.85
178;4;0.02247191011235955;0.11280391036627944;0.0008987791080533299;996.05;272.55
116;3;0.016853932584269662;0.022408430140290737;0.0006256742494628141;24.56;263.21
10;1;0.0056179775280898875;0.0;0.000616441844369396;1.59;270.39
55;4;0.02247191011235955;0.10086967561734272;0.0008882051013639846;1069.29;255.31
149;3;0.016853932584269662;0.022408430140290737;0.0007732964495023648;579.6;249.57
44;1;0.0056179775280898875;0.0;0.0006696982882307457;637.04;275.42
172;3;0.016853932584269662;0.044372500476099794;0.0006553564224384495;94.93;238.8
68;4;0.02247191011235955;0.09934615628769124;0.0008730859631953751;1145.4;232.34
156;4;0.02247191011235955;0.11451786961213738;0.0008300328116120594;667.19;226.59
124;3;0.016853932584269662;0.13038786262934043;0.0007512621458339586;268.69;211.51
112;3;0.016853932584269662;0.06582873103535834;0.0006952765593621367;181.09;205.77
166;3;0.016853932584269662;0.044182060559893356;0.0007662561271820143;770.59;205.05
86;4;0.02247191011235955;0.1456865358979242;0.0008273175514686507;1261.72;202.18
8;1;0.0056179775280898875;0.0;0.0006007047805284807;0.87;200.74
39;1;0.0056179775280898875;0.0;0.0006340599402231015;435.99;324.24
130;3;0.016853932584269662;0.01637783279375357;0.0007432240362735218;339.06;188.54
122;3;0.016853932584269662;0.10759855265663683;0.0007348526314333544;260.08;178.48
