Node1;Node2;Length_of_Edge;Edge_Betweenness_Centrality_Weighted
60;113;81.3934;0.043520532175389016
113;128;140.3655;0.07633218389109755
129;140;77.3333;0.07443097462172682
129;128;28.613;0.11898278125891303
140;150;188.9503;0.10038733105168819
140;130;247.1748;0.06684100480943114
53;61;73.9248;0.027062071693378934
53;50;57.4777;0.02783012079334084
128;124;214.82;0.06766472077500889
61;76;78.3928;0.02961397774798224
61;55;163.7153;0.06146912954363114
161;48;254.791;0.011173184357541898
161;158;64.1093;0.038241517773008375
76;73;58.0844;0.0782561637622047
106;32;46.043;0.011173184357541898
106;104;124.2074;0.026972569204695252
150;158;112.3469;0.1250855793144502
50;170;149.0168;0.023015391885740838
50;178;99.2637;0.00477333013730788
158;170;193.842;0.1350295430523486
158;156;127.3351;0.11519611359703007
73;68;117.3873;0.009552223036938371
73;86;167.47;0.06699134683076301
170;178;111.1056;0.09247497470336179
170;176;154.1993;0.022731349679087534
104;28;67.5093;0.011173184357541898
104;103;128.9884;0.02448684953863536
178;55;75.2383;0.09859235292073372
178;176;106.5773;0.0057435110663740015
116;10;24.0725;0.011173184357541898
116;172;74.4807;0.03314292888079844
116;8;66.8108;0.011173184357541898
55;68;79.5028;0.09203894819381987
55;52;164.3941;0.039451105699116404
149;44;201.1748;0.011173184357541898
149;156;90.9482;0.03314292888079844
149;39;285.5772;0.011173184357541898
172;112;92.2763;0.05461050781495198
172;42;252.1985;0.011173184357541898
68;86;120.1652;0.07735519755030526
68;64;121.9623;0.009126020340005649
156;166;105.6151;0.05461050781495198
156;152;182.6657;0.04429660948554929
124;130;74.0224;0.04838783922331723
124;122;34.1344;0.09342372313937186
112;122;83.5624;0.0755759211600025
112;49;222.5381;0.011173184357541898
166;168;80.6719;0.02196974452325654
166;167;202.2033;0.02196974452325654
86;103;208.6271;0.1387295210595694
86;64;167.7469;0.008881099650668411
130;135;71.2209;0.030913149265732284
122;118;49.9529;0.017596719184817852
176;175;52.6658;0.01811769547021202
168;171;116.0;0.011110413658904023
168;167;108.5805;6.277069863787583e-05
103;31;94.8767;0.011173184357541898
103;101;73.1255;0.11600025108279453
135;127;85.0514;0.03236875693093131
135;152;265.6972;0.036764125649004185
118;127;71.2978;0.014165254325947313
118;34;135.784;0.011173184357541898
171;46;116.0927;0.011173184357541898
171;167;217.1013;0.011110413658904023
